hash_doc,similarity
5359a8f70890,0.8742592930793762
45439f4cdcd4,0.9315731525421143
8c604371f445,0.9240277409553528
44b45c43161e,0.810364842414856
e955c85a818d,0.8536965847015381
9cf44390c1e0,0.7892967462539673
f2a2fc03865d,0.8722512722015381
8ed5bf2c6460,0.8722556233406067
63170414b2a4,0.8677035570144653
725b8205d830,0.7703997492790222
b76cd0cc1107,0.917365550994873
ecf0c6373070,0.9011305570602417
a31dfed8e457,0.9037348031997681
cde838b93bf2,0.9059184193611145
4287c5bdebd7,0.8826217651367188
3fe4daa9999c,0.8835265040397644
1b0eac613360,0.7789384126663208
7e74cc05b23c,0.7808465361595154
81fd553a42e8,0.8989964127540588
4f960a086cc3,0.9004430770874023
55525eacb03b,0.8470529317855835
55ba865d2683,0.8586529493331909
1b753053818b,0.8794004917144775
ff86589b369c,0.869829535484314
949a9e9b10d3,0.877787709236145
9a88fc7b3e2d,0.9300101399421692
98afe4a92d90,0.8685440421104431
b761f0aa4c84,0.8517081141471863
f98ca567211b,0.8637264370918274
03d28eca0b9d,0.7473970651626587
45732e1930a0,0.8770402669906616
fedf9756a479,0.8619987964630127
e890e5acaa22,0.839928150177002
12dabf02e082,0.8554879426956177
c0c3c8f9a126,0.8824285268783569
993882f469d5,0.8736937046051025
495c0669e40f,0.8902288675308228
eae6aee17c33,0.8992995023727417
4147acd1d35e,0.8027583956718445
7bff295c8576,0.9063192009925842
12e82fb430da,0.7965363264083862
3deba32bd8aa,0.8365634083747864
cd1e07d9e100,0.871200680732727
209ba1e69523,0.8959909677505493
f7626330f3e5,0.8204089403152466
e7b63f45fa00,0.8173688650131226
ef46afa2cbff,0.9144224524497986
ad725cbfbd61,0.8292711973190308
9c1a4bd0d170,0.844031572341919
a9c11a998bb3,0.9133859872817993
eb470412c568,0.8029967546463013
111b3d97c6d0,0.8225040435791016
4533c83d76cb,0.8051871061325073
73be31546d86,0.7569521069526672
3ef7785fdbfe,0.8712719678878784
9d0467ce31fd,0.791447639465332
648ab715b158,0.8958554267883301
7b4d2183f0a2,0.8877723217010498
37eaa6830526,0.8358941674232483
e390b0bb0934,0.7884576320648193
e0c1f9d72c4c,0.8662194013595581
92821d01d456,0.8136866092681885
1f19c117f6eb,0.8273554444313049
4c0c0035fea2,0.8172160983085632
d0580ea0d867,0.8093495965003967
a61154c86920,0.8035504221916199
a0dc100358f9,0.8410683870315552
2760d6620102,0.8350000381469727
b87fc053adb3,0.8584998846054077
6cea7a112bc0,0.826862096786499
6150689aecd0,0.9149301052093506
14771a3a668b,0.870819091796875
4cf7be7f6166,0.8747671842575073
e4b3ebf837d6,0.8918014764785767
2ef9139721e2,0.8932881355285645
af8c32d02618,0.8352906703948975
3b45baf15ccf,0.8458763360977173
